Conference Title,Year,Month,Day,place,has TOC?,Link
Pre-1980 conferences,['1980'],N/A,N/A,,no,
Conference on Mechanical Translation,1952,N/A,N/A,,yes,http://www.mt-archive.info/50/MIT-1952-TOC.htm
International Conference on Mechanical Translation,1956,Oct,20,,no,http://www.mt-archive.info/50/MechTrans-3-2-1956.pdf
Research in Machine Translation,1957,Apr,12,"
 ",yes,http://www.mt-archive.info/50/GURT-1957-TOC.htm
National Symposium on Machine Translation,1961,Feb,2,"Los Angeles USA 
 NJ 
 ",yes,http://www.mt-archive.info/50/UCLA-1960-TOC.htm
Federally sponsored machine translation workers,1960,Jul,18,"
 New Jersey 
 Summary ",no,http://www.mt-archive.info/50/Princeton-1960.pdf
International Conference on Machine Translation and Applied Language Analysis,1962,Sep,5,"Teddington Middlesex UK 
 London ",yes,http://www.mt-archive.info/50/NPL-1961-TOC.htm
Automatic translation of languages,1966,N/A,N/A,"
 Venice 
 ",yes,http://www.mt-archive.info/50/NATO-1962-TOC.htm
Annual meeting of the Association for Machine Translation and Computational Linguistics,1963,Mar,25,"Denver Colorado 
 ",yes,http://www.mt-archive.info/50/AMTCL-1963-TOC.htm
Feasibility Study on Fully Automatic High Quality Translation,1971,N/A,N/A,,yes,http://www.mt-archive.info/70/LRC-1971-TOC.htm
FBIS [Foreign Broadcast Information Service] Seminar on Machine Translation,1976,Mar,8,"Virginia 
 ",yes,http://www.mt-archive.info/70/FBIS-1976-TOC.htm
MT Summit International Association for Machine Translation,N/A,N/A,N/A,,no,
MT Summit International Association for Machine Translation,1987,Mar,17,"Hakone Japan 
 ",yes,http://www.mt-archive.info/70/MTS-1987-TOC.htm
MT Summit International Association for Machine Translation,1989,Aug,16,"München Germany 
 ",yes,http://www.mt-archive.info/70/MTS-1989-TOC.htm
MT Summit International Association for Machine Translation,1991,N/A,N/A,"Washington 
 DC USA 
 ",yes,http://www.mt-archive.info/90/MTS-1991-TOC.htm
MT Summit International Association for Machine Translation,1993,Jul,19,"Kobe Japan 
 ",yes,http://www.mt-archive.info/90/MTS-1993-TOC.htm
MT Summit International Association for Machine Translation,1995,Jul,10,Luxembourg ,yes,http://www.mt-archive.info/90/MTS-1995-TOC.htm
MT Summit International Association for Machine Translation,1997,Oct,29,"San Diego California USA 
 ",yes,http://www.mt-archive.info/90/MTS-1997-TOC.htm
MT Summit International Association for Machine Translation,1999,Mar,13,"Singapore 
 ",yes,http://www.mt-archive.info/90/MTS-1999-TOC.htm
MT Summit International Association for Machine Translation,2001,Sep,18,"Spain 
 
 ",yes,http://www.mt-archive.info/00/MTS-2001-TOC.htm
MT Summit International Association for Machine Translation,2003,Sep,23,"New
  Orleans USA 
 
 ",yes,http://www.mt-archive.info/00/MTS-2003-TOC.htm
MT Summit International Association for Machine Translation,2005,Sep,13,"Phuket 
 Thailand 
 ",yes,http://www.mt-archive.info/05/MTS-2005-TOC.htm
MT Summit International Association for Machine Translation,2007,N/A,N/A,"XI 
 Denmark 
 ",yes,http://www.mt-archive.info/05/MTS-2007-TOC.htm
MT Summit International Association for Machine Translation,2009,Aug,26,"Ottawa 
 Canada ",yes,http://www.mt-archive.info/05/MTS-2009-TOC.htm
MT Summit International Association for Machine Translation,2011,Sep,19,Xiamen ,yes,http://www.mt-archive.info/10/MTS-2011-TOC.htm
MT Summit International Association for Machine Translation,2013,N/A,N/A,"Nice France 
 ",yes,http://www.mt-archive.info/10/MTS-2013-TOC.htm
MT Summit International Association for Machine Translation,['20'],N/A,N/A,XV Miami Florida USA ,yes,http://www.mt-archive.info//15/MTS-2015-TOC.htm
Association for Machine Translation in the Americas,N/A,N/A,N/A,,no,http://www.mt-archive.info//
Association for Machine Translation in the Americas,['1994'],N/A,N/A,"Columbia 
 Maryland USA 
 ",yes,http://www.mt-archive.info/90/AMTA-1994-TOC.htm
Association for Machine Translation in the Americas,['1996'],N/A,N/A,"Montreal Quebec Canada 
 ",yes,http://www.mt-archive.info/90/AMTA-1996-TOC.htm
Association for Machine Translation in the Americas,['1998'],N/A,N/A,"
 Pennsylvania USA 
 ",yes,http://www.mt-archive.info/90/AMTA-1998-TOC.htm
Association for Machine Translation in the Americas,2000,Oct,10,"Cuernavaca 
 Mexico 
 Envisioning ",yes,http://www.mt-archive.info/00/AMTA-2000-TOC.htm
Association for Machine Translation in the Americas,2002,Oct,8,"Tiburon 
 California USA 
 ",yes,http://www.mt-archive.info/00/AMTA-2002-TOC.htm
Association for Machine Translation in the Americas,2004,N/A,N/A,"Washington, DC, USA 
 ",yes,http://www.mt-archive.info/00/AMTA-2004-TOC.htm
Association for Machine Translation in the Americas,['20'],Aug,8,"Cambridge 
 Massachusetts USA 
 ",yes,http://www.mt-archive.info/05/AMTA-2006-TOC.htm
Association for Machine Translation in the Americas,2007,Apr,26,"Rochester New York 
 USA Syntax ",yes,http://www.mt-archive.info/05/NAACL-HLT-2007-TOC.htm
Association for Machine Translation in the Americas,['20'],N/A,N/A,Waikiki Hawai’i USA ,yes,http://www.mt-archive.info/05/AMTA-2008-TOC.htm
Association for Machine Translation in the Americas,2010,N/A,N/A,"Denver Colorado 
 USA ",yes,http://www.mt-archive.info/10/AMTA-2010-TOC.htm
Association for Machine Translation in the Americas,2012,N/A,N/A,"San Diego California 
 USA ",yes,http://www.mt-archive.info/10/AMTA-2012-TOC.htm
Association for Machine Translation in the Americas,2014,Oct,22,Vancouver BC Canada ,yes,http://www.mt-archive.info/10/AMTA-2014-TOC.htm
European Association for Machine Translation,N/A,N/A,N/A,,no,http://www.mt-archive.info//
European Association for Machine Translation,1995,N/A,N/A,"
 Germany 
 Berlin Springer ",no,http://www.mt-archive.info/90/EAMT-1993-abstracts.htm
European Association for Machine Translation,1997,N/A,N/A,"
 Germany 
 Berlin ",no,http://www.mt-archive.info/90/EAMT-1994-TOC.htm
European Association for Machine Translation,1996,Aug,29,Vienna Austria ,no,http://www.mt-archive.info/90/EAMT-1996-WS.pdf
European Association for Machine Translation,1997,May,21,"Sprogteknologi Denmark 
 ",yes,http://www.mt-archive.info/90/EAMT-1997-TOC.htm
European Association for Machine Translation,['1998'],N/A,N/A,"Geneva Switzerland 
 ",no,http://www.mt-archive.info/90/EAMT-1998-WS.pdf
European Association for Machine Translation,['1999'],N/A,N/A,"Prague 
 Czech Republic 
 ",yes,http://www.mt-archive.info/90/EAMT-1999-TOC.htm
European Association for Machine Translation,['20'],May,11,"Ljubljana Slovenia 
 
 ",yes,http://www.mt-archive.info/00/EAMT-2000-TOC.htm
European Association for Machine Translation,2002,Nov,14,"Manchester 
 UK 
 ",yes,http://www.mt-archive.info/00/EAMT-2002-TOC.htm
European Association for Machine Translation,['20'],Apr,13,"Budapest 
 Hungary 
 
 ",yes,http://www.mt-archive.info/00/EAMT-2003-TOC.htm
European Association for Machine Translation,2003,May,15,"Ireland 
 
 
 ",yes,http://www.mt-archive.info/00/CLT-2003-TOC.htm
European Association for Machine Translation,['20'],Apr,26,"Malta 
 ",yes,http://www.mt-archive.info/00/EAMT-2004-TOC.htm
European Association for Machine Translation,2005,May,30,"Budapest 
 Hungary 
 ",yes,http://www.mt-archive.info/05/EAMT-2005-TOC.htm
European Association for Machine Translation,"['20', '20']",N/A,N/A,"Oslo Norway 
 ",yes,http://www.mt-archive.info/05/EAMT-2006-TOC.htm
European Association for Machine Translation,['20'],N/A,N/A,Hamburg Germany ,yes,http://www.mt-archive.info/05/EAMT-2008-TOC.htm
European Association for Machine Translation,2009,May,14,Barcelona Spain ,yes,http://www.mt-archive.info/05/EAMT-2009-TOC.htm
European Association for Machine Translation,2010,May,27,"France 
 ",yes,http://www.mt-archive.info/10/EAMT-2010-TOC.htm
European Association for Machine Translation,['20'],N/A,N/A,Leuven Belgium ,yes,http://www.mt-archive.info/10/EAMT-2011-TOC.htm
European Association for Machine Translation,['20'],N/A,N/A,Trento Italy ,yes,http://www.mt-archive.info/10/EAMT-2012-TOC.htm
European Association for Machine Translation,2014,Jun,16,Croatia ,yes,http://www.mt-archive.info/10/EAMT-2014-TOC.htm
European Association for Machine Translation,2015,May,11,Antalya Turkey ,yes,http://www.mt-archive.info//15/EAMT-2015-TOC.htm
European Association for Machine Translation,2016,N/A,N/A,Riga Latvia ,yes,http://www.mt-archive.info//15/EAMT-2016-TOC.htm
British Computer Society,N/A,N/A,N/A,,no,
British Computer Society,['1984'],N/A,N/A,UK ,yes,http://www.mt-archive.info/70/BCS-1984-TOC.htm
British Computer Society,2010,Nov,12,"UK 
 ",yes,http://www.mt-archive.info/90/BCS-1994-TOC.htm
British Computer Society,"['20', '20', '20']",N/A,N/A,UK ,yes,http://www.mt-archive.info/00/BCS-2000-TOC.htm
British Computer Society,['20'],Oct,23,"London 
 UK ",yes,http://www.mt-archive.info/05/BCS-2006-TOC.htm
Controlled Language Applications (CLAW),N/A,N/A,N/A,,no,
Controlled Language Applications (CLAW),2003,Mar,15,"
 Ireland 
 
 ",yes,http://www.mt-archive.info/00/CLT-2003-TOC.htm
Controlled Language Applications (CLAW),2006,Aug,12,"Cambridge 
 Mass. AMTA-2006 ",no,http://www.mt-archive.info/05/CLAW-2006-TOC.htm
International Workshop on Example-Based Machine Translation,N/A,N/A,N/A,,no,
International Workshop on Example-Based Machine Translation,['20'],Sep,18,Spain ,yes,http://www.mt-archive.info/00/MTS-2001-EBMT-WS.htm
International Workshop on Example-Based Machine Translation,2005,Sep,16,"
 Phuket Tailand ",yes,http://www.mt-archive.info/05/MTS-2005-EBMT-WS.htm
International Workshop on Example-Based Machine Translation,2009,Nov,12,"Dublin Ireland 
 ",yes,http://www.mt-archive.info/05/EBMT-2009-TOC.htm
International Workshop on Free/Open-Source Rule-Based Machine Translation,N/A,N/A,N/A,,no,
International Workshop on Free/Open-Source Rule-Based Machine Translation,['20'],N/A,N/A,"Spain 
 ",yes,http://www.mt-archive.info/05/FreeRBMT-2009-TOC.htm
International Workshop on Free/Open-Source Rule-Based Machine Translation,"['20', '20']",N/A,N/A,"
 Barcelona Spain ",yes,http://www.mt-archive.info/10/FreeRBMT-2011-TOC.htm
International Workshop on Free/Open-Source Rule-Based Machine Translation,2012,Jun,13,"3rd 
 Gothenburg Sweden ",yes,http://www.mt-archive.info/10/FreeRBMT-2012-TOC.htm
International Workshop on Spoken Language Translation (IWSLT),N/A,N/A,N/A,,no,
International Workshop on Spoken Language Translation (IWSLT),"['20', '20']",N/A,N/A,"Kyoto Japan 
 ",yes,http://www.mt-archive.info/00/IWSLT-2004-TOC.htm
International Workshop on Spoken Language Translation (IWSLT),2005,Oct,24,Pittsburgh PA USA ,yes,http://www.mt-archive.info/05/IWSLT-2005-TOC.htm
International Workshop on Spoken Language Translation (IWSLT),['20'],N/A,N/A,"Kyoto Japan 
 ",yes,http://www.mt-archive.info/05/IWSLT-2006-TOC.htm
International Workshop on Spoken Language Translation (IWSLT),['20'],N/A,N/A,"Trento Italy 
 ",yes,http://www.mt-archive.info/05/IWSLT-2007-TOC.htm
International Workshop on Spoken Language Translation (IWSLT),"['20', '20']",N/A,N/A,Waikiki Hawai’i USA ,yes,http://www.mt-archive.info/05/IWSLT-2008-TOC.htm
International Workshop on Spoken Language Translation (IWSLT),2009,N/A,N/A,"Tokyo Japan 
 ",yes,http://www.mt-archive.info/05/IWSLT-2009-TOC.htm
International Workshop on Spoken Language Translation (IWSLT),2010,N/A,N/A,"Paris France 
 ",yes,http://www.mt-archive.info/10/IWSLT-2010-TOC.htm
International Workshop on Spoken Language Translation (IWSLT),['20'],N/A,N/A,"San Francisco California 
 USA ",yes,http://www.mt-archive.info/10/IWSLT-2011-TOC.htm
International Workshop on Spoken Language Translation (IWSLT),['20'],N/A,N/A,"Hong
 Kong ",yes,http://www.mt-archive.info/10/IWSLT-2012-TOC.htm
International Workshop on Spoken Language Translation (IWSLT),2013,N/A,N/A,"Heidelberg Germany 
 ",yes,http://www.mt-archive.info/10/IWSLT-2013-TOC.htm
International Workshop on Spoken Language Translation (IWSLT),2014,N/A,N/A,California USA ,yes,http://www.mt-archive.info/10/IWSLT-2014-TOC.htm
International Workshop on Spoken Language Translation (IWSLT),2015,N/A,N/A,Vietnam ,yes,http://www.mt-archive.info//15/IWSLT-2015-TOC.htm
Machine Translation Marathon,N/A,N/A,N/A,,no,
Machine Translation Marathon,"['20', '20']",Apr,16,Edinburgh UK ,yes,http://www.mt-archive.info/05/MTMarathon-2007-TOC.htm
Machine Translation Marathon,['20'],May,12,"Berlin Germany 
 ",yes,http://www.mt-archive.info/05/MTMarathon-2008-TOC.htm
Machine Translation Marathon,['20'],N/A,N/A,"Prague Czech Republic 
 ",yes,http://www.mt-archive.info/05/MTMarathon-2009-TOC.htm
Machine Translation Marathon,2010,Jan,25,"Dublin Ireland 
 ",yes,http://www.mt-archive.info/10/MTMarathon-2010-TOC.htm
Machine Translation Marathon,2010,N/A,N/A,"Le Mans France 
 ",yes,http://www.mt-archive.info/10/MTMarathon-5-2010-TOC.htm
Machine Translation Marathon,2011,Sep,5,"Trento Italy 
 ",yes,http://www.mt-archive.info/10/MTMarathon-2011-TOC.htm
Machine Translation Marathon,2012,Mar,8,"Edinburgh UK 
 ",yes,http://www.mt-archive.info/10/MTMarathon-2012-TOC.htm
META-FORUM,N/A,N/A,N/A,,no,
META-FORUM,['20'],Nov,17,"
 Brussels Belgium ",yes,http://www.mt-archive.info/10/META-FORUM-2010-TOC.htm
META-FORUM,['20'],N/A,N/A,"
 Budapest 
 Hungary ",yes,http://www.mt-archive.info/10/META-FORUM-2011-TOC.htm
META-FORUM,2012,N/A,N/A,"
 Brussels Belgium Summary ",no,http://www.mt-archive.info/10/META-FORUM-2012-summary.htm
Syntax and Structure in Statistical Translation (SSST),N/A,N/A,N/A,"Syntax 
 ",no,
Syntax and Structure in Statistical Translation (SSST),2007,N/A,N/A,Syntax ,yes,http://www.mt-archive.info/05/SSST-2007-TOC.htm
Syntax and Structure in Statistical Translation (SSST),"['20', '20', '20']",N/A,N/A,"Columbus Ohio 
 
 
 ",yes,http://www.mt-archive.info/05/SSST-2008-TOC.htm
Syntax and Structure in Statistical Translation (SSST),"['20', '20']",N/A,N/A,"Boulder Syntax 
 ",yes,http://www.mt-archive.info/05/SSST-2009-TOC.htm
Syntax and Structure in Statistical Translation (SSST),2010,Aug,28,"Beijing China 
 Syntax 
 ",yes,http://www.mt-archive.info/10/SSST-2010-TOC.htm
Syntax and Structure in Statistical Translation (SSST),"['20', '20']",Jun,23,"Portland Oregon USA 
 
 Syntax ",yes,http://www.mt-archive.info/10/SSST-2011-TOC.htm
Syntax and Structure in Statistical Translation (SSST),2012,N/A,N/A,"Korea Syntax 
 
 ",yes,http://www.mt-archive.info/10/SSST-2012-TOC.htm
Syntax and Structure in Statistical Translation (SSST),2013,Jun,13,"Atlanta Georgia 
 Syntax SSST-7) ",yes,http://www.mt-archive.info/10/SSST-2013-TOC.htm
Syntax and Structure in Statistical Translation (SSST),['20'],N/A,N/A,"Doha Qatar 
 Syntax 
 
 ",yes,http://www.mt-archive.info/10/SSST-2014-TOC.htm
Theoretical and Methodological Issues in Machine Translation (TMI),N/A,N/A,N/A,,no,
Theoretical and Methodological Issues in Machine Translation (TMI),['1985'],Aug,14,"TMI-85 NY 
 USA ",yes,http://www.mt-archive.info/70/TMI-1985-TOC.htm
